Unnamed: 0.1,Unnamed: 0,ip_str,domain,sshfp,sshKeys,comparison,DNSSEC
21,21,144.91.107.145,goliveict.com,"['4 1 c76263588ec1eee2b56c7f778a291515a818241e', '1 1 57e3b3e4106260884942c3c4965bf901cb3cb924', '3 1 d24e1e303e46ab734bab61de39d618d27ca3001d']","['4 2 41f5aa64bb4e314bba1e19fff333db269cf9a09de473c3d9ad6eac6e8dda9d68', '4 1 c76263588ec1eee2b56c7f778a291515a818241e', '3 2 643d5629877bf5fd2b0dd21e72b49f3c7871155dec026d0369695de69e8508db', '3 1 d24e1e303e46ab734bab61de39d618d27ca3001d', '1 2 22a40ae261a513bbd2f34d60bf49d490afbdb714430caf9afe7368bcce65a6a1', '1 1 57e3b3e4106260884942c3c4965bf901cb3cb924', '1 2 22a40ae261a513bbd2f34d60bf49d490afbdb714430caf9afe7368bcce65a6a1', '1 1 57e3b3e4106260884942c3c4965bf901cb3cb924', '1 2 22a40ae261a513bbd2f34d60bf49d490afbdb714430caf9afe7368bcce65a6a1', '1 1 57e3b3e4106260884942c3c4965bf901cb3cb924']",True,False
24,26,216.244.94.195,purwakartakab.go.id,"['2 1 a9e19c8dd171c80d47f6f034f3f169f33604ba29', '1 1 b04f140589d5aee85f15af1000907f90a4284b40']","['4 2 d3dda4d53f024a3ccc85247034f587939b6f27ffef430be9e81114445097f66c', '4 1 a4992f813de772301d577d3bbe4936602df92229', '3 2 8dd265ed027164cb79836c7cb94e65d0995e9710d5091d56594b8bb9ae0131c5', '3 1 c49f1dfd145b97d36127244e1f293fd61f414f82', '1 2 175758883c32e45fd3003dd338696daa444b08ed677f12fcfffc79f4fa38e823', '1 1 b04f140589d5aee85f15af1000907f90a4284b40', '1 2 175758883c32e45fd3003dd338696daa444b08ed677f12fcfffc79f4fa38e823', '1 1 b04f140589d5aee85f15af1000907f90a4284b40']",True,False
29,31,142.44.144.47,businesstechnohub.com,"['4 1 9f1bb575e42ab0cd39f28279768c7748c67336ef', '2 1 3864ced3ea4eee4ca0f997acd72a6dcc54f1095a', '1 1 9b108cf9178539be5f0858359cb65467ae043cc6', '3 1 5025df2c394deeb83341602d78f28c84b6ac4cf1']","['4 2 358d32570d37afa0bf25da142b9eb5941da1bd1f330c2a641538d917fd776ab6', '4 1 9f1bb575e42ab0cd39f28279768c7748c67336ef', '3 2 5317b8f47852643f23ac1ed2acba17efe9006b92b2ccc44912c4d1b7393fa58d', '3 1 5025df2c394deeb83341602d78f28c84b6ac4cf1', '1 2 8e6c2ecffff8b4a24b9b841a96336199cd1ef1d927f6096242c07911b352c883', '1 1 9b108cf9178539be5f0858359cb65467ae043cc6', '1 2 8e6c2ecffff8b4a24b9b841a96336199cd1ef1d927f6096242c07911b352c883', '1 1 9b108cf9178539be5f0858359cb65467ae043cc6']",True,False
31,33,37.221.193.45,buttr.de,"['4 2 6229c051df9b6393cb804b5a0485832299ad001903b30dda15e54df6491e2d15', '1 2 1a37e76a49309c62925181a3abb50fe16b6f85517de80a262f4d346a9c384451', '3 2 53f42868ffc391231d1cc3ed5c812048504086d182be8eaaac8c15914df888d2']","['4 2 6229c051df9b6393cb804b5a0485832299ad001903b30dda15e54df6491e2d15', '4 1 fa17e9d0eeb06dc694b647db2438c7f7f20568d1', '3 2 53f42868ffc391231d1cc3ed5c812048504086d182be8eaaac8c15914df888d2', '3 1 eb2b4f41a1ae51723813351d16e21c00a4d597e3', '1 2 1a37e76a49309c62925181a3abb50fe16b6f85517de80a262f4d346a9c384451', '1 1 5ad4450ac4f7a8704be4c38d06b72038259691b7', '1 2 1a37e76a49309c62925181a3abb50fe16b6f85517de80a262f4d346a9c384451', '1 1 5ad4450ac4f7a8704be4c38d06b72038259691b7']",True,False
32,34,134.119.178.93,iqqmails.com,"['1 1 44c37765c79294aa53751b50c2d9cd83d8b0fa00', '4 1 0e719b8f3c204d27f879159587c9cf811a39dbab', '3 1 d0dc264afe12cc686e85a7d13ae454ad01b28b0e']","['4 2 3d447f00392218e366e6bb67bb1595a35a34b9d544e1521f036badea837c6c7e', '4 1 0e719b8f3c204d27f879159587c9cf811a39dbab', '3 2 6c4dc3f4142136051f6166eee79cef208b27ece5860a8dc04198e0867b3ff762', '3 1 d0dc264afe12cc686e85a7d13ae454ad01b28b0e', '1 2 a783624b9f247a0a039b9016ddf578caf1725a726d476a2ea587e05b33cc10fe', '1 1 44c37765c79294aa53751b50c2d9cd83d8b0fa00', '1 2 a783624b9f247a0a039b9016ddf578caf1725a726d476a2ea587e05b33cc10fe', '1 1 44c37765c79294aa53751b50c2d9cd83d8b0fa00', '1 2 a783624b9f247a0a039b9016ddf578caf1725a726d476a2ea587e05b33cc10fe', '1 1 44c37765c79294aa53751b50c2d9cd83d8b0fa00']",True,False
34,36,146.190.163.5,tritechelectrical.ca,"['4 2 fb40f009bf25039878cbbb33655e99288ff22c5cfaa45b560b6c0a163b603677', '1 2 1276aa17771e8e621a394b6d81c50ce1002c4488ab15fef353505cf0efd1fdc9', '3 2 7d5bbcb98505166c9313b37dd5f31d42f993a1abca08653d618b5793a63b2daf']","['4 2 fb40f009bf25039878cbbb33655e99288ff22c5cfaa45b560b6c0a163b603677', '4 1 acda2351b2606236c76c2c4afdf33159de19837d', '3 2 7d5bbcb98505166c9313b37dd5f31d42f993a1abca08653d618b5793a63b2daf', '3 1 5df40116972a3c6e19e22ccbe455d9a465524431']",True,False
38,40,67.205.157.184,robinsons.casa,"['4 2 0a30ef6655709886213cd3739587fcdddd8e13bffa18a7cb4928f3c7fd3e18e9', '1 2 847d669a19d7ab4d8fc5d9ba26d0a006ba3deb3e8508273ba129767cf8c2f6e5', '3 2 a58e542a2fee4ea9acf7031e3fc70eed27a109f73d45ba3f17adf26781f3f224']","['4 2 0a30ef6655709886213cd3739587fcdddd8e13bffa18a7cb4928f3c7fd3e18e9', '4 1 a2bc1a0e6a70b904dd25cad30a4af8591f3c60ae', '3 2 a58e542a2fee4ea9acf7031e3fc70eed27a109f73d45ba3f17adf26781f3f224', '3 1 5a3f57ff3ddb6b9a4e59e8badb8ba71177d98841']",True,False
41,43,54.39.92.153,mta06.net,"['3 1 0ca36b1c738721c0494d69d99d35bed830cf5696', '2 1 b7eb4e9c1581db675ca804871765b2f64a31849c', '4 1 bbf71e78c970e8e423522bc4e8f92682bb2a5f5d', '1 1 eefd1bfb9b71c34c39d89510676f9855d31cda7b']","['4 2 08f712205a22bccb4718b6e82a2bd0f07fb0352d17bad70c597f4b51941eedde', '4 1 bbf71e78c970e8e423522bc4e8f92682bb2a5f5d', '3 2 4d04806f96b1b76281a05683b37f6119b4f23e8b39a7a960a6f06e0043bb2f06', '3 1 0ca36b1c738721c0494d69d99d35bed830cf5696', '1 2 200aac84b705f6b4c19325aad330d8d54c3677d20aeea747443d1c3fd37c3511', '1 1 eefd1bfb9b71c34c39d89510676f9855d31cda7b', '1 2 200aac84b705f6b4c19325aad330d8d54c3677d20aeea747443d1c3fd37c3511', '1 1 eefd1bfb9b71c34c39d89510676f9855d31cda7b']",True,False
52,54,195.201.94.75,percondigital.com,"['1 1 0f627b83c0a9b72210b1bf01f61e77f241d00fc0', '3 1 2a2e9e18b69aeebc87ffa24c2aae5cdf3f9d0cee', '4 1 0e943c2ce6d9051420be0a69f2186449d9dbf6d6']","['4 2 d8b3c5e3a9e661b6f7cfe274465505092f0208259202f74aa4f906ee3e14aac8', '4 1 0e943c2ce6d9051420be0a69f2186449d9dbf6d6', '3 2 be2f6fa548d3b326b8bdd80ce5e0cfa44a8d3cc1c6e76c22f34c34245b8c07b7', '3 1 2a2e9e18b69aeebc87ffa24c2aae5cdf3f9d0cee', '1 2 7674da6d5918f83900f96d126bc85605c2baf0ef4a0798a3933c9a98f7ff3294', '1 1 0f627b83c0a9b72210b1bf01f61e77f241d00fc0', '1 2 7674da6d5918f83900f96d126bc85605c2baf0ef4a0798a3933c9a98f7ff3294', '1 1 0f627b83c0a9b72210b1bf01f61e77f241d00fc0', '1 2 7674da6d5918f83900f96d126bc85605c2baf0ef4a0798a3933c9a98f7ff3294', '1 1 0f627b83c0a9b72210b1bf01f61e77f241d00fc0']",True,False
58,60,94.237.120.189,dsgnmail.com,"['1 2 fcf6878102355eef02bb05601ef1bc547670f4b886e19e271c1ea161f8314edf', '3 2 0e3c4e589d81b8ec11c360d93d58313f69475c00b75687dbd28ae496f55b458c', '4 2 f8882eba6ada3bd13eb1d7d087e427a0353323a906307091092a6e5c3d762d00']","['4 2 f8882eba6ada3bd13eb1d7d087e427a0353323a906307091092a6e5c3d762d00', '4 1 87a1c7f5342e24343a478680845b21a3154fe6f2', '3 2 0e3c4e589d81b8ec11c360d93d58313f69475c00b75687dbd28ae496f55b458c', '3 1 81161f51cc6d651913b4a8f6010516597b66a829']",True,False
