,ip_str,host_nslookup,sshfp_for_hosts,sshKeys
10,131.188.60.60,cip4d1.cip.cs.fau.de,"['1 1 4f401a12b5c5b5f10ec0f8f7975305c75f6c54b8', '1 2 0feb0055d6d99beb8b84b6693444f58d1a532c4921b5074811ca348d6bd65286']","['1 2 D+sAVdbZm+uLhLZpNET1jRpTLEkhtQdIEco0jWvWUoY=', '1 1 T0AaErXFtfEOwPj3l1MFx19sVLg=', '1 2 D+sAVdbZm+uLhLZpNET1jRpTLEkhtQdIEco0jWvWUoY=', '1 1 T0AaErXFtfEOwPj3l1MFx19sVLg=']"
11,62.44.127.61,rec-gw.uni-sofia.bg,"['3 2 757e50ce68ee4b5a455383e8b3fd3151a608dde6ac8c5cc96496b71ffabc6342', '1 2 90850fb8346f1367b9af9fd956240f5e5b2adf084eb31a6db85f77932595a3a7']","['4 2 TpmQ/SIqWyuQXv/4i64YCaK4tZeEZU4kMUIHLIpKm7M=', '4 1 cSqG+zefGSQ70ZCkrMIKTRZdVu0=', '3 2 JBmavg17XblkZOTOm9CmvquIfZujtccp0m5GacEUXYo=', '3 1 slun/estSpLBlAOJ05c7H6hRR1I=', '1 2 o2qPhg5iZHsN9+TTNGIEyt3iYLvL/aZ17H9pp4ZWm9c=', '1 1 H3Jufn9Ib0bw0EauCjuGLH49ChM=', '1 2 o2qPhg5iZHsN9+TTNGIEyt3iYLvL/aZ17H9pp4ZWm9c=', '1 1 H3Jufn9Ib0bw0EauCjuGLH49ChM=', '1 2 o2qPhg5iZHsN9+TTNGIEyt3iYLvL/aZ17H9pp4ZWm9c=', '1 1 H3Jufn9Ib0bw0EauCjuGLH49ChM=']"
12,46.235.224.107,sprite.mythic-beasts.com,"['2 1 e0235ebb113c2ed7695d4ad5f7e5031e86fd47ed', '3 1 bfa2c941e688b778b194e26ac4db0d4b7bd5d05b', '1 1 a6fc30bb62f27e6899554cc7beef3ffb7d0606a4', '1 2 03b524d3b0edfb156faca01a86b067e29d57b9966ae36c74caa7f1e2332df4cb', '4 1 8da2ffb0b218eed748e9a9955366803a11db0e87', '3 2 516d4735d3f145cc1dcb78a37d0924682b6f46e69ed7ee8dba7c40aa5989f8dd', '2 2 64da887ecf399228e639393b97ad3cbd8b2a7fcdb8f4b57e071dab8b9eea04ea', '4 2 7c23a1e1cc468e1147a8d5f66c811e571522b828c0ecd47886e45e547f8d887b']","['4 2 fCOh4cxGjhFHqNX2bIEeVxUiuCjA7NR4huReVH+NiHs=', '4 1 jaL/sLIY7tdI6amVU2aAOhHbDoc=', '3 2 UW1HNdPxRcwdy3ijfQkkaCtvRuae1+6NunxAqlmJ+N0=', '3 1 v6LJQeaIt3ixlOJqxNsNS3vV0Fs=', '1 2 A7Uk07Dt+xVvrKAahrBn4p1XuZZq42x0yqfx4jMt9Ms=', '1 1 pvwwu2LyfmiZVUzHvu8/+30GBqQ=', '1 2 A7Uk07Dt+xVvrKAahrBn4p1XuZZq42x0yqfx4jMt9Ms=', '1 1 pvwwu2LyfmiZVUzHvu8/+30GBqQ=', '1 2 A7Uk07Dt+xVvrKAahrBn4p1XuZZq42x0yqfx4jMt9Ms=', '1 1 pvwwu2LyfmiZVUzHvu8/+30GBqQ=']"
13,5.75.140.200,xmpp.aberrata.net,"['3 2 6f2ff768c5c7ebbca1a5d2713dd599f8430789492becb7acd87cc1335f299b34', '4 2 1be2cf46ef6e3867c1aad1c3bc316b923671d90c78aa0536f6c226e5cb466640', '3 1 18762a8f69316508142ba444516973e76ae0a761', '4 1 37c68948eb70440da5d81696b367f0affebddafe', '1 1 947ab3b978319e0dc6e26424e1601fcd0999268a', '1 2 38823a208f05c320ed226eec701b188c5b72f4c02174e27641516f7ecf26e933']","['4 2 G+LPRu9uOGfBqtHDvDFrkjZx2Qx4qgU29sIm5ctGZkA=', '4 1 N8aJSOtwRA2l2BaWs2fwr/692v4=', '3 2 by/3aMXH67yhpdJxPdWZ+EMHiUkr7Les2HzBM18pmzQ=', '3 1 GHYqj2kxZQgUK6REUWlz52rgp2E=', '1 2 OII6II8FwyDtIm7scBsYjFty9MAhdOJ2QVFvfs8m6TM=', '1 1 lHqzuXgxng3G4mQk4WAfzQmZJoo=', '1 2 OII6II8FwyDtIm7scBsYjFty9MAhdOJ2QVFvfs8m6TM=', '1 1 lHqzuXgxng3G4mQk4WAfzQmZJoo=']"
14,131.188.30.214,cip1d2.cip.cs.fau.de,"['1 1 9970181d2e08acd51b82d688b6ad6ab6cfc1fea7', '1 2 80870c7a4c21cfa3b204a67cd2f8525ec4a27eadc191061552f14d9da03e9977']","['1 2 gIcMekwhz6OyBKZ80vhSXsSifq3BkQYVUvFNnaA+mXc=', '1 1 mXAYHS4IrNUbgtaItq1qts/B/qc=', '1 2 gIcMekwhz6OyBKZ80vhSXsSifq3BkQYVUvFNnaA+mXc=', '1 1 mXAYHS4IrNUbgtaItq1qts/B/qc=']"
15,188.174.253.165,matilda.madduck.net,"['4 2 b4ad3afc64aa37620a6902f55f6b39fbc1c0b271cec6e369fe79fe20711dbd54', '3 1 c737e7882107ed210573ae618a49d743fded1b9e', '3 2 9b60ff1ce64af0b7e636bae9574c4e67506124adf91920045ae0ebe2ee30d71b', '1 1 6adca7911300ab170355251eb59991088062031d', '2 2 76da11dae9074224a99fed798b0e570e0a4c7e25242ff177c40b1ce08cc5697d', '2 1 92e091b50bdeb76ff934eec286ff5b68a30062f1', '1 2 e165831942d0a28392c2e6f2fc65a4c536def56efdf8ff448cfe2fb3e0835b33', '4 1 3c6b04a6fd8f75c26e99cb1142b066fa6b326702']",
16,168.119.120.223,pad.online.debconf.org,"['4 1 02f4719714db59ad3d050f076e7d32d2f6807792', '1 1 dff66f6aa26830e9ae7a7c90b86d52a30f0e225b', '4 2 1f89412b0f79b77bf355255243afa12e5187e56637d951e30780e971d4ebc23e', '1 2 865be098966630148028a1d331fb7ccb6664b6bd07bfde01031ad7f34a357e75']","['4 2 H4lBKw95t3vzVSVSQ6+hLlGH5WY32VHjB4DpcdTrwj4=', '4 1 AvRxlxTbWa09BQ8Hbn0y0vaAd5I=', '1 2 hlvgmJZmMBSAKKHTMft8y2Zktr0Hv94BAxrX80o1fnU=', '1 1 3/ZvaqJoMOmuenyQuG1Sow8OIls=', '1 2 hlvgmJZmMBSAKKHTMft8y2Zktr0Hv94BAxrX80o1fnU=', '1 1 3/ZvaqJoMOmuenyQuG1Sow8OIls=']"
17,91.194.60.135,oxyvie1.octopuce.fr,"['2 2 629e8b9cc39a4641de66e2886cebcfbde72446a9671085031944e164d450647d', '3 2 12f4c62be851f320b321968cbe3ea89e5d4e5fbd4ec9060ffe2389f6a0e5a73d', '4 1 22582fa8d2aef1c5e0c002b789906d9c0ccdd51d', '4 2 5ecca4d175c1d5cd0ea9a02940c512c24d5d69a1dadffc2dc4701b8ccd399831', '3 1 83e2b3ba14f8c971ce18f4743c1f35bc45032cf3', '1 1 1450de5db319b4c6982c10ace08c476f44dc6ae7', '2 1 e4273c9fc5724cd9eaf5f5dcbcd950c4b763637a', '1 2 57453e5dbff78b9dcb5b5a0378c37f7a558d0d4fb4d526c0d956f7d613f545bc']","['4 2 Xsyk0XXB1c0OqaApQMUSwk1daaHa3/wtxHAbjM05mDE=', '4 1 IlgvqNKu8cXgwAK3iZBtnAzN1R0=', '3 2 EvTGK+hR8yCzIZaMvj6onl1OX71OyQYP/iOJ9qDlpz0=', '3 1 g+KzuhT4yXHOGPR0PB81vEUDLPM=', '1 2 V0U+Xb/3i53LW1oDeMN/elWNDU+01SbA2Vb31hP1Rbw=', '1 1 FFDeXbMZtMaYLBCs4IxHb0Tcauc=', '1 2 V0U+Xb/3i53LW1oDeMN/elWNDU+01SbA2Vb31hP1Rbw=', '1 1 FFDeXbMZtMaYLBCs4IxHb0Tcauc=', '1 2 V0U+Xb/3i53LW1oDeMN/elWNDU+01SbA2Vb31hP1Rbw=', '1 1 FFDeXbMZtMaYLBCs4IxHb0Tcauc=']"
18,91.134.119.192,immoparentissy.clients.teambox.fr,"['4 1 1b56135e5960304f40a3bd4cd64a1b00820c8849', '4 2 31bf31f94fd41859547d8931f5d14e151dfc4ba126519faa5c0a93e5d2158de9', '1 1 8f65a9ca08948271d86ff7b27d5d0ef5044b0915', '1 2 fa73f76d5008bb086c739dccc1f29222d1b62f4dcdc980217c218a17c0f328ef']","['4 2 Mb8x+U/UGFlUfYkx9dFOFR38S6EmUZ+qXAqT5dIVjek=', '4 1 G1YTXllgME9Ao71M1kobAIIMiEk=', '1 2 +nP3bVAIuwhsc53MwfKSItG2L03NyYAhfCGKF8DzKO8=', '1 1 j2WpygiUgnHYb/eyfV0O9QRLCRU=', '1 2 +nP3bVAIuwhsc53MwfKSItG2L03NyYAhfCGKF8DzKO8=', '1 1 j2WpygiUgnHYb/eyfV0O9QRLCRU=']"
19,79.136.98.131,deployment.pingpong.net,"['4 2 d38483cb41c060be0d8ea3b29b1dca5cd27523576b47adeeb75ed036fd6dcf97', '3 2 c532b1bb04716784d2fcbdc956be35d1a491e269f5834fc380df4b0f961ebd11']","['4 2 04SDy0HAYL4NjqOymx3KXNJ1I1drR63ut17QNv1tz5c=', '4 1 6CTvPpUbY7/+BEGgtXrxOuCCCFw=', '3 2 xTKxuwRxZ4TS/L3JVr410aSR4mn1g0/DgN9LD5YevRE=', '3 1 Xk7URqCk8PchTnj3JAKMg/GwmPk=', '1 2 39RbZIwFcm5ilsjOzMnjel88aQqhFbWX1jdmyxoHtgA=', '1 1 9iTxg5VWLCrhv+pO0DwAMs7c07Q=', '1 2 39RbZIwFcm5ilsjOzMnjel88aQqhFbWX1jdmyxoHtgA=', '1 1 9iTxg5VWLCrhv+pO0DwAMs7c07Q=', '1 2 39RbZIwFcm5ilsjOzMnjel88aQqhFbWX1jdmyxoHtgA=', '1 1 9iTxg5VWLCrhv+pO0DwAMs7c07Q=']"
